Time stamp,"Reward Single base, no spawns",Reward Greedy agents - many spawns and conversions,"Reward Self play optimum 1 - single base, conservative start"
2020-04-24 20:19:42.791113,1.0,0.93,0.73
2020-04-24 20:22:37.816804,1.0,0.92,0.78
2020-04-24 20:25:36.855928,0.99,0.92,0.67
2020-04-24 20:28:47.657787,1.0,0.96,0.63
2020-04-24 20:31:52.585602,0.99,0.93,0.68
2020-04-24 20:34:49.570244,1.0,0.94,0.69
2020-04-24 20:37:52.053524,0.99,0.94,0.81
2020-04-24 20:40:55.223915,0.99,0.92,0.72
2020-04-24 20:44:12.834344,0.99,0.92,0.73
2020-04-24 20:47:27.403132,0.99,0.92,0.6
2020-04-24 20:50:39.138051,0.99,0.89,0.76
2020-04-24 20:54:05.369605,0.96,0.7,0.31
2020-04-24 20:57:32.829160,0.99,0.96,0.78
2020-04-24 21:01:02.589806,0.98,0.91,0.73
2020-04-24 21:03:59.183925,1.0,0.91,0.71
2020-04-24 21:07:27.213110,0.99,0.94,0.66
2020-04-24 21:10:42.867717,0.99,0.95,0.74
2020-04-24 21:13:59.335868,0.9,0.78,0.5
2020-04-24 21:17:11.300082,0.96,0.83,0.55
2020-04-24 21:20:33.946822,1.0,0.85,0.53
2020-04-24 21:23:42.609461,0.99,0.94,0.71
2020-04-24 21:26:52.147687,1.0,0.96,0.7
2020-04-24 21:30:24.108736,0.94,0.66,0.22
2020-04-24 21:33:32.800669,0.99,0.96,0.74
2020-04-24 21:36:46.341622,1.0,0.96,0.81
2020-04-24 21:40:03.512957,0.99,0.94,0.74
2020-04-24 21:43:10.728210,1.0,0.95,0.79
2020-04-24 21:46:22.341359,0.99,0.96,0.78
2020-04-24 21:49:34.318571,1.0,0.95,0.74
2020-04-24 21:52:50.151940,0.98,0.93,0.69
2020-04-24 21:56:18.637190,0.99,0.92,0.79
2020-04-24 21:59:50.788089,0.99,0.93,0.79
2020-04-24 22:03:05.130017,0.99,0.95,0.81
2020-04-24 22:06:17.318563,1.0,0.95,0.74
2020-04-24 22:09:40.102173,0.97,0.87,0.76
2020-04-24 22:12:57.179905,0.99,0.87,0.63
2020-04-24 22:16:02.166079,0.98,0.9,0.81
2020-04-24 22:19:22.576421,0.97,0.92,0.84
2020-04-24 22:22:42.293100,0.99,0.96,0.78
2020-04-24 22:26:04.527870,1.0,0.96,0.7
2020-04-24 22:29:07.894624,1.0,0.91,0.66
2020-04-24 22:32:31.491514,1.0,0.97,0.72
2020-04-24 22:35:30.758171,1.0,0.96,0.74
2020-04-24 22:38:56.794360,1.0,0.94,0.62
2020-04-24 22:42:11.134023,0.94,0.9,0.64
2020-04-24 22:45:23.947654,1.0,0.95,0.71
2020-04-24 22:48:39.821906,1.0,0.98,0.85
2020-04-24 22:52:14.598260,0.98,0.8,0.58
2020-04-24 22:55:38.500970,0.99,0.92,0.71
2020-04-24 22:59:16.263683,0.13,0.22,0.01
2020-04-24 23:02:36.246590,1.0,0.95,0.73
2020-04-24 23:06:04.130891,0.99,0.91,0.61
2020-04-24 23:09:25.515965,0.98,0.96,0.74
2020-04-24 23:12:42.997723,0.99,0.96,0.7
2020-04-24 23:16:07.400016,1.0,0.9,0.51
2020-04-24 23:19:36.855511,0.96,0.93,0.51
2020-04-24 23:22:58.696324,0.93,0.79,0.43
2020-04-24 23:26:27.220751,0.63,0.49,0.14
2020-04-24 23:29:46.553686,0.93,0.76,0.56
2020-04-24 23:33:02.119753,0.99,0.91,0.78
2020-04-24 23:36:25.472635,0.99,0.92,0.69
2020-04-24 23:39:46.685894,1.0,0.97,0.7
2020-04-24 23:43:16.620378,1.0,0.97,0.7
2020-04-24 23:46:42.902657,0.99,0.95,0.79
2020-04-24 23:50:06.741782,1.0,0.98,0.71
2020-04-24 23:53:37.455663,0.98,0.92,0.7
2020-04-24 23:57:06.327002,1.0,0.95,0.66
2020-04-25 00:00:32.029430,1.0,0.93,0.59
2020-04-25 00:04:03.352005,1.0,0.95,0.7
2020-04-25 00:07:35.711961,0.98,0.94,0.68
2020-04-25 00:11:24.286736,0.9,0.76,0.48
2020-04-25 00:15:02.593596,1.0,0.92,0.66
2020-04-25 00:19:15.094740,0.35,0.43,0.09
2020-04-25 00:22:56.371621,0.99,0.93,0.69
2020-04-25 00:26:23.129539,1.0,0.95,0.7
2020-04-25 00:30:02.205197,0.99,0.85,0.71
2020-04-25 00:33:29.780240,1.0,0.96,0.65
2020-04-25 00:37:18.366846,0.99,0.89,0.7
2020-04-25 00:41:06.566255,1.0,0.96,0.69
2020-04-25 00:44:42.328122,0.99,0.92,0.8
2020-04-25 00:48:23.651085,0.99,0.92,0.73
2020-04-25 00:51:52.836534,1.0,0.89,0.75
2020-04-25 00:55:31.217336,0.99,0.94,0.73
2020-04-25 00:59:00.226066,0.99,0.91,0.72
2020-04-25 01:02:30.155907,0.95,0.88,0.68
2020-04-25 01:06:08.349453,1.0,0.94,0.58
2020-04-25 01:09:52.738014,0.79,0.59,0.1
2020-04-25 01:13:26.353035,1.0,0.96,0.77
2020-04-25 01:17:10.736020,0.99,0.95,0.62
2020-04-25 01:20:46.607928,0.98,0.93,0.85
2020-04-25 01:24:18.102807,1.0,0.92,0.66
2020-04-25 01:27:57.730295,1.0,0.96,0.71
2020-04-25 01:31:55.032556,1.0,0.93,0.76
2020-04-25 01:35:56.538253,0.98,0.94,0.65
2020-04-25 01:39:48.920198,0.99,0.93,0.59
2020-04-25 01:43:45.425167,0.99,0.95,0.63
2020-04-25 01:47:38.096985,1.0,0.92,0.67
2020-04-25 01:51:27.802526,0.94,0.9,0.62
2020-04-25 01:54:57.633594,0.99,0.92,0.77
2020-04-25 01:58:46.219815,0.97,0.96,0.65
2020-04-25 02:02:25.419492,1.0,0.91,0.71
2020-04-25 02:06:06.451951,1.0,0.93,0.61
2020-04-25 02:09:40.235597,0.99,0.97,0.79
2020-04-25 02:13:11.861718,0.98,0.95,0.67
2020-04-25 02:16:52.791832,0.99,0.96,0.73
2020-04-25 02:20:29.595181,1.0,0.96,0.83
2020-04-25 02:24:01.183969,0.98,0.97,0.6
2020-04-25 02:27:41.213280,1.0,0.94,0.52
2020-04-25 02:31:15.577307,1.0,0.96,0.66
2020-04-25 02:34:49.403467,1.0,0.95,0.71
2020-04-25 02:38:33.268977,0.86,0.69,0.46
2020-04-25 02:42:17.642358,1.0,0.91,0.71
2020-04-25 02:46:16.635379,0.71,0.66,0.24
2020-04-25 02:49:59.593322,0.99,0.92,0.72
2020-04-25 02:53:46.210787,0.99,0.89,0.75
2020-04-25 02:57:52.473793,0.98,0.91,0.73
2020-04-25 03:02:03.087034,0.99,0.94,0.71
2020-04-25 03:06:21.010699,0.99,0.92,0.69
2020-04-25 03:10:23.343221,0.98,0.92,0.82
2020-04-25 03:14:39.803783,0.98,0.91,0.47
2020-04-25 03:18:40.456560,0.99,0.89,0.74
2020-04-25 03:22:27.756005,1.0,0.94,0.73
2020-04-25 03:26:14.248169,0.98,0.91,0.77
2020-04-25 03:29:59.948930,0.99,0.93,0.6
2020-04-25 03:33:52.575441,1.0,0.92,0.56
2020-04-25 03:37:45.202584,0.94,0.88,0.7
2020-04-25 03:41:37.100352,0.99,0.94,0.65
2020-04-25 03:45:31.081689,0.99,0.96,0.73
2020-04-25 03:49:23.638938,0.98,0.89,0.64
2020-04-25 03:53:23.404291,0.66,0.46,0.09
2020-04-25 03:57:13.086958,1.0,0.97,0.71
2020-04-25 04:01:15.127094,0.98,0.87,0.65
2020-04-25 04:05:02.116977,0.99,0.94,0.64
2020-04-25 04:08:55.530664,0.98,0.91,0.76
2020-04-25 04:12:51.449323,0.96,0.93,0.53
2020-04-25 04:16:47.048118,1.0,0.96,0.7
