Average reward self play,Average reward previous iterations,Average evaluation reward,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path
0.4999999999999998,-1,0.4633333333333334,1.0,301279,1.469547273647699e-06,176.955,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5533333333333332,-1,0.5766666666666667,1.0,299644,1.4396898538982256e-06,199.83,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.4866666666666666,-1,0.5166666666666667,1.0,303473,1.3980284195332831e-06,203.355,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5266666666666668,-1,0.5433333333333331,1.0,306826,1.5495641869396372e-06,193.87,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5533333333333333,-1,0.5766666666666667,1.0,315684,1.5507834499276076e-06,211.35,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5566666666666665,-1,0.5633333333333332,1.0,313067,1.5266357800433e-06,193.965,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5533333333333332,-1,0.4733333333333334,1.0,303192,1.6696736487980338e-06,172.51,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5466666666666666,-1,0.6266666666666667,1.0,304489,1.6532664525923504e-06,188.32,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5166666666666667,-1,0.5766666666666668,1.0,302288,1.5087201357638799e-06,200.74,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5833333333333335,-1,0.4366666666666665,1.0,303040,1.5611935121085538e-06,183.955,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.49,-1,0.62,1.0,306629,1.5792368135258244e-06,195.125,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5099999999999999,-1,0.5933333333333335,1.0,303021,1.5212750260804639e-06,190.96,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5166666666666668,-1,0.6000000000000001,1.0,293818,1.527450263667727e-06,181.89,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5599999999999998,-1,0.5766666666666665,1.0,299825,1.553710176631159e-06,212.62,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5733333333333333,-1,0.5499999999999999,1.0,304752,1.5398225176908732e-06,191.38,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5266666666666668,-1,0.6233333333333334,1.0,305523,1.5802305784845904e-06,191.665,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.4733333333333334,-1,0.4666666666666668,1.0,311661,1.6834961027694046e-06,179.11,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5100000000000001,-1,0.5666666666666668,1.0,306764,1.6868230346772922e-06,191.495,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5299999999999999,-1,0.38333333333333336,1.0,304687,1.716051214131473e-06,187.79,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5833333333333334,-1,0.5333333333333333,1.0,303630,1.7104141662187798e-06,194.635,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5533333333333335,-1,0.6166666666666667,1.0,309402,1.634158535787236e-06,204.05,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.4800000000000001,-1,0.6066666666666667,1.0,307940,1.646593996766633e-06,193.99,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5766666666666665,-1,0.6766666666666665,1.0,310180,1.5812911697334776e-06,191.885,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.6366666666666668,-1,0.6600000000000001,1.0,319965,1.650312501922086e-06,213.07,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_2.h5
0.5066666666666668,-1,0.5433333333333333,1.0,326143,1.500720423773546e-06,219.9,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.59,-1,0.35999999999999993,1.0,335734,1.37707345672474e-06,213.555,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5166666666666666,-1,0.44333333333333336,1.0,336635,1.496368107003737e-06,199.945,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.57,-1,0.49,1.0,333176,1.45333083220169e-06,207.125,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4799999999999999,-1,0.5866666666666669,1.0,334749,1.5577810696960692e-06,216.675,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5533333333333333,-1,0.49,1.0,337595,1.541472081308611e-06,226.775,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4733333333333333,-1,0.3966666666666667,1.0,347210,1.5082270556240954e-06,209.58,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4833333333333333,-1,0.4400000000000001,1.0,346222,1.4885204885289048e-06,200.01,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.45,-1,0.54,1.0,338377,1.4933321319186622e-06,200.095,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5566666666666668,-1,0.49,1.0,332026,1.4377456813629954e-06,194.34,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5366666666666666,-1,0.58,1.0,325112,1.3382391005898154e-06,197.155,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4799999999999999,-1,0.49,1.0,326795,1.3390384748232339e-06,207.315,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5033333333333333,-1,0.5266666666666666,1.0,329540,1.3298355481010004e-06,203.96,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5233333333333333,-1,0.43333333333333335,1.0,334129,1.4236640135785282e-06,220.2,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.5133333333333335,-1,0.4766666666666667,1.0,334312,1.4426128942711729e-06,201.005,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.4966666666666668,-1,0.3700000000000001,1.0,337326,1.4414372070290291e-06,209.52,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
0.6033333333333334,-1,0.4733333333333334,1.0,340085,1.4781233420158438e-06,205.45,/home/tom/Kaggle/Halite/Logic/../Agents/Pool 4 players - Go nearest base action/iteration_3.h5
