Average reward self play,Average reward previous iterations,Average evaluation reward,Average final halite self play,Median final halite self play,Average halite change per step self play,Fraction of unique states,Experience buffer size,Mean loss,Average self play episode length,Data agent path,Time stamp
0.5666666666666668,-1,0.5133333333333334,16676,0.0,46,1.0,339375,6.403744528921982e-08,222.17,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 04:19:25.662041
0.2466666666666667,-1,0.13333333333333333,3340,0.0,-12,1.0,340210,6.514738644728249e-08,185.97,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 04:28:35.634911
0.3600000000000001,-1,0.12666666666666665,380,0.0,-27,1.0,339302,5.6706058454812525e-08,178.52,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 04:37:39.898543
0.5,-1,0.44666666666666666,41406,0.0,148,1.0,357998,5.7503636703311374e-08,228.35,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 04:48:50.023269
0.4000000000000001,-1,0.2,5533,0.0,2,1.0,348583,5.8286494731143615e-08,210.29,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 04:58:47.299648
0.6733333333333335,-1,0.3666666666666667,41526,19.5,141,1.0,360023,7.674420652297982e-08,201.42,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 05:09:03.650104
0.2333333333333333,-1,0.14666666666666667,14,0.0,-39,1.0,358662,8.151272449822858e-08,190.685,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 05:18:12.850037
0.5000000000000001,-1,0.4800000000000001,169695,0.0,649,1.0,356846,8.499917123013935e-08,239.875,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 05:29:19.447236
0.3666666666666665,-1,0.12,1020,0.0,-24,1.0,351457,9.101151423762164e-08,187.03,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 05:38:46.596702
0.3499999999999999,-1,0.23000000000000004,25855,0.0,142,1.0,343356,7.569005841293675e-08,193.48,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 05:48:19.642228
0.5466666666666666,-1,0.5000000000000001,41197,0.0,134,1.0,367637,7.926319571662822e-08,245.86,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 05:59:27.628336
0.5533333333333332,-1,0.5,25099,0.0,89,1.0,360172,7.1257876484965e-08,213.105,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 06:09:57.541482
0.3133333333333333,-1,0.22999999999999995,5662,0.0,4,1.0,357176,6.313137487822592e-08,182.43,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 06:19:12.476052
0.28666666666666674,-1,0.1733333333333333,967,0.0,-31,1.0,364591,6.326021293896518e-08,193.675,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 06:29:19.754710
0.3033333333333333,-1,0.2966666666666666,4780,0.0,-1,1.0,339406,5.1224214331756837e-08,182.71,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 06:38:23.594596
0.29999999999999993,-1,0.19333333333333333,6773,0.0,12,1.0,327574,5.111040120027755e-08,203.215,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 06:47:38.667947
0.26666666666666666,-1,0.23333333333333325,4424,0.0,-4,1.0,333798,4.21154924021245e-08,181.48,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 06:57:16.039708
0.5800000000000002,-1,0.3999999999999999,24628,0.0,75,1.0,343977,3.76732932578433e-08,225.005,/home/tom/Kaggle/Halite/Logic/../Agents/Halite reward 4 players - independent ship - base actions/iteration_3.h5,2020-04-18 07:08:50.272343
