Time stamp,Average reward self play,Average evaluation reward,Experience buffer size,Data rules path
2020-04-22 01:59:52.647537,0.43333333333333335,0.4833333333333335,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:02:51.477102,0.5633333333333332,0.4933333333333333,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:05:50.918310,0.5299999999999999,0.4866666666666669,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:08:40.272628,0.5833333333333333,0.4633333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:11:30.843828,0.4900000000000001,0.5049999999999997,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:14:19.399027,0.4333333333333334,0.5066666666666668,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:17:08.985678,0.3566666666666666,0.3800000000000001,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:19:57.227718,0.4900000000000002,0.3433333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:22:43.391146,0.5,0.4583333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:25:31.033345,0.4133333333333333,0.3466666666666668,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:28:16.905393,0.4500000000000001,0.4733333333333332,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:31:03.354068,0.47,0.5133333333333333,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:34:01.183285,0.4366666666666667,0.4999999999999997,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:37:03.531767,0.39,0.3733333333333333,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:39:50.518995,0.4733333333333333,0.3966666666666667,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:42:38.478160,0.4599999999999998,0.43,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:45:29.868337,0.5066666666666664,0.4033333333333331,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:48:20.437933,0.4833333333333333,0.4400000000000001,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:51:06.497521,0.4533333333333331,0.4733333333333333,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:53:58.440397,0.5800000000000001,0.52,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:56:46.382169,0.6,0.4233333333333332,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 02:59:37.649950,0.5783333333333334,0.25,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:02:24.065811,0.52,0.2733333333333332,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:05:27.940583,0.34333333333333343,0.37,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:08:30.541503,0.4200000000000004,0.4733333333333334,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:11:39.038361,0.4033333333333332,0.4966666666666668,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:14:24.237852,0.4066666666666667,0.5300000000000001,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:17:16.719873,0.3933333333333333,0.38,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:20:08.722184,0.4666666666666667,0.5466666666666665,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:23:00.573280,0.4466666666666668,0.40666666666666657,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:25:52.778079,0.4233333333333335,0.5,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:28:43.291552,0.4616666666666666,0.5183333333333333,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:31:32.091532,0.4700000000000002,0.4233333333333336,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:34:25.885553,0.4249999999999999,0.3016666666666665,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
2020-04-22 03:37:17.456618,0.2883333333333333,0.285,10000,/home/tom/Kaggle/Halite/Logic/../Rule agents/Rule based with evolution/iteration_19.json
